"WAY_ID";"NODE_ID";"SEQ_NR"
4018771;667059848;1
4018771;316278486;2
4018771;316278484;3
4018771;666986179;4
4018771;666986159;5
4018771;413246174;6
4258946;25530091;1
4258946;25530096;2
4258947;25530094;1
4258947;457504941;2
4258947;31115453;3
4258947;267091710;4
4278468;25711363;1
4278468;25759864;2
4278468;270425225;3
4278468;268980202;4
4278468;339268715;5
4278468;339268766;6
4278468;25759866;7
4278468;339268019;8
4278468;273265933;9
4278468;268371890;10
4278468;267093404;11
4278468;25530098;12
4278484;31114206;1
4278484;341053031;2
4278484;538373579;3
4278484;569947777;4
4278484;538373580;5
4278484;538373577;6
4278484;538373576;7
4278484;392937426;8
4278484;1393946805;9
4278484;392937418;10
4278484;34006221;11
4278484;266346295;12
4278484;266341694;13
4289742;25892770;1
4289742;308796460;2
4289742;410242666;3
4289742;313359087;4
4289742;266348347;5
4289742;1366953927;6
4294975;25892930;1
4294975;259594023;2
4294975;26235186;3
4294975;259594024;4
4294975;60656182;5
4298472;394000768;1
4298472;666986286;2
4298472;529972999;3
4298472;529973001;4
4298472;25975116;5
4298472;413246168;6
4298473;89214667;1
4298473;667023474;2
4298473;667023475;3
4298474;1226577652;1
4298474;1226577776;2
4298474;1226577543;3
4298474;1226577702;4
4298474;1226577671;5
4298474;667023463;6
4298474;25893410;7
4298474;59847595;8
4298474;667023483;9
4298474;1226748226;10
4298474;1226748338;11
4298475;1226577777;1
4298475;1226577576;2
4298475;1226577731;3
4298475;667023465;4
4298475;25975481;5
4298475;25975484;6
4298475;59847596;7
4298475;667023485;8
4298475;1226748452;9
4298475;393773079;10
4298475;1226748544;11
4298475;1226748262;12
4298475;1226748168;13
4298475;667023504;14
4310735;25783693;1
4310735;25789753;2
4310735;25795959;3
4310735;25896445;4
4320799;26234897;1
4320799;26234889;2
4320799;1262603823;3
4320799;25812280;4
4320799;26235005;5
4320799;530220293;6
4320799;26235000;7
4320799;316287887;8
4320799;266348171;9
4320799;1393946748;10
4320799;26234998;11
4320799;355913135;12
4320799;266343049;13
4320799;308259658;14
4320799;266341244;15
4320802;26234969;1
4320802;266343015;2
4320802;266341697;3
4320802;266341694;4
4320803;266341694;1
4320803;266341695;2
4320803;266341696;3
4320803;266343021;4
4320803;26234970;5
4320828;25896405;1
4320828;25896410;2
4320828;25813223;3
4320828;25795494;4
4320828;25792574;5
4320828;25794665;6
4320828;25783698;7
4320829;25896391;1
4320829;306565796;2
4320829;25896405;3
4320829;458885001;4
4320829;25896445;5
4320829;25896455;6
4320829;281812481;7
4320829;25896453;8
4320830;25811251;1
4320830;25813189;2
4320830;25813203;3
4320830;25813205;4
4320830;306565798;5
4320830;25813014;6
4397988;26882851;1
4397988;247455163;2
4397988;26882852;3
4397988;26882853;4
4397988;26882854;5
4397988;26882856;6
4397988;87261161;7
4397988;26882857;8
4397988;26882858;9
4397988;26882859;10
4397989;26882860;1
4397989;26882861;2
4397989;26882862;3
4397989;26882863;4
4397989;26882864;5
4397989;26882865;6
4397989;26882866;7
4397989;26882867;8
4397989;26882868;9
4397989;247804322;10
4397990;26882854;1
4397990;26882869;2
4397990;26882870;3
4397990;26882871;4
4397990;34062368;5
4449093;26235186;1
4449093;26235184;2
4449095;26235085;1
4449095;26235088;2
4449095;1393946617;3
4449095;1366953836;4
4449095;1366953835;5
4449095;26235063;6
4623673;267091715;1
4623673;29364461;2
4623673;29364462;3
4623860;59952790;1
4623860;82473916;2
4623860;412494778;3
4623860;82473917;4
4623860;82473918;5
4623860;82473919;6
4623860;96718949;7
4623860;82473920;8
4623860;1262005265;9
4623860;96716127;10
4623860;59646282;11
4679549;26235427;1
4679549;301997144;2
4679549;26234897;3
4679550;29727335;1
4679550;29727334;2
4679550;282928254;3
4679550;29727333;4
4679550;346457347;5
4679558;29727595;1
4679558;29727596;2
4679558;29727597;3
4679558;29727598;4
4679558;29727599;5
4679558;348406506;6
4679558;60656022;7
4679558;206392318;8
4686585;25892770;1
4686585;1392931352;2
4686585;1392931375;3
4686585;59990771;4
4686585;247688138;5
4686585;29790877;6
4686585;29790885;7
4686585;299056730;8
4686585;285226331;9
4686585;299056721;10
4686585;664753731;11
4686585;29790880;12
4686585;667023560;13
4686585;1370767058;14
4686585;1370767060;15
4686585;291195743;16
4686585;1370767061;17
4686585;1370767059;18
4686585;33326635;19
4686588;25811896;1
4686588;29727611;2
4686588;25812002;3
4686588;25813310;4
4686588;25812000;5
4686589;1393946792;1
4686589;1393946773;2
4686589;316287887;3
4686589;26235014;4
4686589;1393946732;5
4686589;1393946653;6
4686589;1393946648;7
4686645;29791541;1
4686645;29791547;2
4686645;29791548;3
4686645;29791549;4
4686645;29791550;5
4686645;29791552;6
4686645;29791560;7
4686645;29791561;8
4686645;29791562;9
4686645;29791563;10
4686645;29791538;11
4686647;29791541;1
4686647;29791564;2
4686649;29791539;1
4686649;29791538;2
