"WAY_ID";"KEY";"VALUE"
4018771;"electrified";"contact_line"
4018771;"embankment";"yes"
4018771;"frequency";"16.7"
4018771;"railway";"rail"
4018771;"voltage";"15000"
4258946;"highway";"tertiary"
4258946;"name";"Königsworther Straße"
4258946;"postal_code";"30167"
4258947;"highway";"secondary"
4258947;"maxspeed";"50"
4258947;"name";"Brühlstraße"
4258947;"oneway";"yes"
4258947;"postal_code";"30169"
4278468;"highway";"secondary"
4278468;"maxspeed";"50"
4278468;"name";"Schloßwender Straße"
4278468;"oneway";"yes"
4278468;"postal_code";"30167"
4278468;"ref";"L 190; L 380"
4278484;"highway";"residential"
4278484;"name";"Am Klagesmarkt"
4278484;"postal_code";"30159"
4289742;"bicycle";"yes"
4289742;"foot";"yes"
4289742;"highway";"cycleway"
4289742;"name";"Am Klagesmarkt"
4289742;"postal_code";"30159"
4294975;"highway";"tertiary"
4294975;"name";"Kurt-Schumacher-Straße"
4294975;"oneway";"yes"
4294975;"postal_code";"30159"
4298472;"electrified";"contact_line"
4298472;"embankment";"yes"
4298472;"frequency";"16.7"
4298472;"railway";"rail"
4298472;"ref";"1760"
4298472;"voltage";"15000"
4298473;"electrified";"contact_line"
4298473;"embankment";"yes"
4298473;"frequency";"16.7"
4298473;"railway";"rail"
4298473;"voltage";"15000"
4298474;"electrified";"contact_line"
4298474;"frequency";"16.7"
4298474;"layer";"1"
4298474;"railway";"rail"
4298474;"voltage";"15000"
4298475;"electrified";"contact_line"
4298475;"frequency";"16.7"
4298475;"layer";"1"
4298475;"railway";"rail"
4298475;"voltage";"15000"
4310735;"highway";"residential"
4310735;"maxspeed";"30"
4310735;"name";"Kronenstraße"
4310735;"oneway";"yes"
4310735;"postal_code";"30161"
4320799;"cycleway";"track"
4320799;"highway";"tertiary"
4320799;"maxspeed";"50"
4320799;"name";"Celler Straße"
4320799;"oneway";"yes"
4320799;"postal_code";"30159"
4320802;"highway";"tertiary"
4320802;"name";"Otto-Brenner-Straße"
4320802;"oneway";"yes"
4320802;"postal_code";"30159"
4320803;"highway";"tertiary"
4320803;"name";"Otto-Brenner-Straße"
4320803;"oneway";"yes"
4320803;"postal_code";"30159"
4320828;"cycleway";"opposite"
4320828;"highway";"residential"
4320828;"maxspeed";"30"
4320828;"name";"Hallerstraße"
4320828;"oneway";"yes"
4320828;"postal_code";"30161"
4320829;"highway";"residential"
4320829;"name";"Friesenstraße"
4320829;"postal_code";"30161"
4320830;"highway";"residential"
4320830;"maxspeed";"30"
4320830;"name";"Sodenstraße"
4320830;"postal_code";"30161"
4397988;"cycleway";"track"
4397988;"highway";"secondary"
4397988;"name";"Hildesheimer Straße"
4397988;"oneway";"yes"
4397988;"postal_code";"30169"
4397988;"ref";"L 393"
4397989;"cycleway";"track"
4397989;"highway";"secondary"
4397989;"name";"Hildesheimer Straße"
4397989;"oneway";"yes"
4397989;"postal_code";"30169"
4397989;"ref";"L 393"
4397990;"highway";"residential"
4397990;"maxspeed";"30"
4397990;"name";"Aegidiendamm"
4397990;"postal_code";"30169"
4449093;"highway";"tertiary"
4449093;"name";"Goseriede"
4449093;"oneway";"yes"
4449093;"postal_code";"30159"
4449095;"highway";"residential"
4449095;"name";"Goseriede"
4449095;"postal_code";"30159"
4623673;"bridge";"yes"
4623673;"electrified";"contact_line"
4623673;"layer";"1"
4623673;"name";"10 - 17"
4623673;"railway";"tram"
4623860;"electrified";"contact_line"
4623860;"layer";"-1"
4623860;"name";"1 - 2 - 8 - 18"
4623860;"railway";"tram"
4623860;"tunnel";"yes"
4679549;"cycleway";"track"
4679549;"highway";"tertiary"
4679549;"maxspeed";"50"
4679549;"name";"Celler Straße"
4679549;"postal_code";"30161"
4679550;"highway";"secondary"
4679550;"maxspeed";"50"
4679550;"name";"Berliner Allee"
4679550;"oneway";"yes"
4679550;"postal_code";"30175"
4679558;"highway";"secondary"
4679558;"maxspeed";"50"
4679558;"name";"Berliner Allee"
4679558;"oneway";"yes"
4679558;"postal_code";"30161"
4686585;"cycleway";"track"
4686585;"highway";"secondary"
4686585;"maxspeed";"50"
4686585;"name";"Arndtstraße"
4686585;"oneway";"yes"
4686585;"postal_code";"30159"
4686588;"highway";"residential"
4686588;"name";"Hagenstraße"
4686588;"postal_code";"30161"
4686589;"bicycle";"designated"
4686589;"foot";"designated"
4686589;"highway";"path"
4686589;"surface";"paved"
4686645;"bicycle";"no"
4686645;"bridge";"yes"
4686645;"foot";"no"
4686645;"highway";"secondary"
4686645;"layer";"2"
4686645;"maxspeed";"50"
4686645;"name";"Raschplatzhochstraße"
4686645;"postal_code";"30161"
4686647;"highway";"secondary"
4686647;"maxspeed";"50"
4686647;"name";"Hamburger Allee"
4686647;"oneway";"yes"
4686647;"postal_code";"30161"
4686649;"highway";"secondary"
4686649;"maxspeed";"50"
4686649;"name";"Raschplatzhochstraße"
4686649;"postal_code";"30161"
4686650;"highway";"secondary"
4686650;"maxspeed";"50"
4686650;"name";"Raschplatzhochstraße"
4686650;"postal_code";"30161"
4696335;"highway";"residential"
4696335;"name";"Friesenstraße"
4696335;"postal_code";"30161"
4696448;"cycleway";"track"
4696448;"highway";"secondary"
4696448;"name";"Berliner Allee"
4696448;"oneway";"yes"
4696449;"cycleway";"track"
4696449;"highway";"secondary"
4696449;"name";"Sallstraße"
4696449;"oneway";"yes"
4696449;"postal_code";"30175"
4696450;"cycleway";"track"
4696450;"highway";"secondary"
4696450;"name";"Berliner Allee"
4696450;"oneway";"yes"
4696450;"postal_code";"30175"
4696451;"cycleway";"track"
4696451;"highway";"secondary"
4696451;"name";"Schiffgraben"
4696451;"postal_code";"30175"
4697937;"highway";"secondary"
4697937;"lanes";"3"
4697937;"maxspeed";"50"
4697937;"name";"Friedrichswall"
4697937;"oneway";"yes"
4697937;"postal_code";"30159"
4697937;"ref";"L 384"
4697939;"highway";"secondary"
4697939;"maxspeed";"50"
4697939;"name";"Brühlstraße"
4697939;"oneway";"yes"
4697939;"postal_code";"30169"
4699114;"highway";"secondary"
4699114;"name";"Aegidientorplatz"
4699114;"postal_code";"30159"
4699114;"ref";"L 384"
4712898;"area";"yes"
4712898;"highway";"pedestrian"
4712898;"name";"Kröpcke"
4712898;"wikipedia";"http://de.wikipedia.org/wiki/Kröpcke"
4712898;"wikipedia:en";"http://en.wikipedia.org/wiki/Kr%C3%B6pcke"
4712899;"area";"yes"
4712899;"bicycle";"yes"
4712899;"highway";"pedestrian"
4712899;"name";"Georgstraße"
4712899;"postal_code";"30159"
4714252;"highway";"residential"
4714252;"maxspeed";"30"
4714252;"name";"Rambergstraße"
4714252;"postal_code";"30161"
4756317;"highway";"residential"
4756317;"maxspeed";"30"
4756317;"name";"Hindenburgstraße"
4756317;"postal_code";"30175"
4765273;"alt_name";"Eilenriede"
4765273;"landuse";"forest"
4765273;"name";"Eilenriede-Nord"
4765273;"place_name";"Eilenriede-Nord"
4816458;"addr:city";"Hannover"
4816458;"addr:country";"DE"
4816458;"addr:housenumber";"1"
4816458;"addr:postcode";"30159"
4816458;"addr:street";"Opernplatz"
4816458;"amenity";"theatre"
4816458;"building";"yes"
4816458;"name";"Opernhaus"
4816458;"wikipedia";"http://de.wikipedia.org/wiki/Opernhaus_Hannover"
4816458;"wikipedia:en";"http://en.wikipedia.org/wiki/Staatsoper_Hannover"
4816459;"addr:city";"Hannover"
4816459;"addr:country";"DE"
4816459;"addr:housenumber";"1"
4816459;"addr:postcode";"30159"
4816459;"addr:street";"Ernst-August-Platz"
4816459;"amenity";"public_building"
4816459;"building";"yes"
4816459;"name";"Hauptbahnhof"
4816459;"opening_hours";"24/7"
4816459;"railway";"station"
4816459;"surveillance";"indoor"
4816459;"wikipedia";"http://de.wikipedia.org/wiki/Hannover_Hauptbahnhof"
4816459;"wikipedia:en";"http://en.wikipedia.org/wiki/Hannover_Hauptbahnhof"
4816460;"addr:city";"Hannover"
4816460;"addr:country";"DE"
4816460;"addr:housenumber";"3"
4816460;"addr:postcode";"30159"
4816460;"addr:street";"Trammplatz"
4816460;"amenity";"public_building"
4816460;"building";"yes"
7996014;"oneway";"yes"
7996014;"postal_code";"30159"
7996015;"area";"yes"
7996015;"bicycle";"yes"
7996015;"highway";"pedestrian"
7996015;"name";"Schillerstraße"
7996015;"postal_code";"30159"
7996016;"highway";"pedestrian"
7996016;"name";"Andreaestraße"
7996016;"postal_code";"30159"
7996019;"highway";"residential"
7996019;"name";"Andreaestraße"
7996019;"oneway";"yes"
7996019;"postal_code";"30159"
7996251;"highway";"pedestrian"
7996251;"name";"Große Packhofstraße"
7996251;"postal_code";"30159"
7996252;"highway";"residential"
7996252;"name";"Große Packhofstraße"
7996252;"postal_code";"30159"
7996313;"highway";"residential"
7996313;"name";"Mehlstraße"
7996315;"highway";"service"
7996315;"service";"driveway"
7996413;"cycleway";"opposite"
7996413;"highway";"residential"
7996413;"maxspeed";"30"
7996413;"name";"Herrenstraße"
7996413;"oneway";"yes"
7996413;"postal_code";"30159"
7996427;"bicycle";"designated"
7996427;"bicycle_road";"yes"
7996427;"highway";"residential"
7996427;"maxspeed";"30"
7996427;"motor_vehicle";"no"
7996427;"name";"Lange Laube"
7996427;"postal_code";"30159"
7996428;"highway";"residential"
7996428;"name";"Körnerstraße"
7996428;"noexit";"yes"
7996428;"postal_code";"30159"
7996510;"highway";"tertiary"
7996510;"name";"Lister Meile"
7996510;"postal_code";"30161"
7996511;"highway";"residential"
7996511;"name";"Lister Meile"
7996511;"postal_code";"30161"
7996724;"highway";"tertiary"
7996724;"layer";"-1"
7996724;"maxheight";"3.4"
7996724;"name";"Fernroder Straße"
7996724;"postal_code";"30161"
7996724;"tunnel";"yes"
7996725;"highway";"tertiary"
7996725;"name";"Fernroder Straße"
7996725;"postal_code";"30161"
7996727;"highway";"tertiary"
7996727;"name";"Fernroder Straße"
7996727;"postal_code";"30159"
8009966;"highway";"footway"
8009967;"highway";"pedestrian"
8009967;"name";"Kanalstraße"
8009967;"postal_code";"30159"
8009968;"highway";"residential"
8009968;"name";"Kanalstraße"
8014611;"electrified";"contact_line"
8014611;"layer";"-1"
8014611;"name";"4 - 5"
8014611;"railway";"tram"
8014611;"tunnel";"yes"
8025130;"highway";"residential"
8025130;"maxspeed";"30"
8025130;"name";"Türkstraße"
8025130;"postal_code";"30167"
8025133;"highway";"residential"
8025133;"maxspeed";"30"
8025133;"name";"Nordfelder Reihe"
8025133;"oneway";"yes"
8025133;"postal_code";"30159"
8025134;"highway";"residential"
8025134;"maxspeed";"30"
8025134;"name";"Striehlstraße"
8025134;"postal_code";"30159"
8025135;"highway";"residential"
8025135;"maxspeed";"30"
8025135;"name";"Nikolaistraße"
8025135;"postal_code";"30159"
8095903;"highway";"residential"
8095903;"name";"Augustenstraße"
8095903;"postal_code";"30161"
8095904;"highway";"residential"
8095904;"name";"Rosenstraße"
8095904;"postal_code";"30159"
8095906;"highway";"residential"
8095906;"name";"Georgstraße"
8095906;"oneway";"yes"
8095906;"postal_code";"30159"
8095915;"highway";"residential"
8095915;"maxspeed";"30"
8095915;"name";"Volgersweg"
8095915;"oneway";"yes"
8095915;"postal_code";"30175"
8095916;"highway";"residential"
8095916;"maxspeed";"30"
8095916;"name";"Ferdinandstraße"
8095916;"postal_code";"30175"
8095916;"surface";"cobblestone"
8095918;"highway";"residential"
8095918;"maxspeed";"30"
8095918;"name";"Volgersweg"
8095918;"postal_code";"30175"
8095928;"highway";"pedestrian"
8095928;"name";"Körnerstraße"
8095928;"postal_code";"30159"
8095945;"cycleway";"track"
8095945;"highway";"tertiary"
8095945;"name";"Kurt-Schumacher-Straße"
8095945;"oneway";"yes"
8151204;"highway";"secondary"
8151204;"maxspeed";"50"
8151204;"name";"Schiffgraben"
8151204;"oneway";"yes"
8151204;"postal_code";"30159"
8151204;"surveillance";"outdoor"
8160081;"highway";"residential"
8160081;"name";"Körnerstraße"
8160081;"postal_code";"30159"
8167307;"highway";"residential"
8167307;"name";"Escherstraße"
8167307;"postal_code";"30159"
8560423;"highway";"residential"
8560423;"name";"Heinrichstraße"
8560423;"oneway";"yes"
8560423;"postal_code";"30175"
8566478;"highway";"pedestrian"
8566478;"name";"Am Markte"
8566478;"postal_code";"30159"
8579301;"highway";"pedestrian"
8579301;"name";"Heiligerstraße"
8579301;"postal_code";"30159"
8599013;"electrified";"contact_line"
8599013;"layer";"-1"
8599013;"name";"6 - 11"
8599013;"railway";"tram"
8599013;"tunnel";"yes"
8735170;"bridge";"yes"
8735170;"electrified";"contact_line"
8735170;"frequency";"16.7"
8735170;"layer";"1"
8735170;"railway";"rail"
8735170;"voltage";"15000"
8735171;"electrified";"contact_line"
8735171;"embankment";"yes"
8735171;"frequency";"16.7"
8735171;"layer";"1"
8735171;"railway";"rail"
8735171;"voltage";"15000"
9641880;"highway";"residential"
9641880;"name";"Lavesplatz"
9641880;"postal_code";"30159"
9775401;"highway";"residential"
9775401;"name";"Warmbüchenkamp"
9775401;"postal_code";"30159"
9775402;"highway";"residential"
9775402;"maxspeed";"30"
9775402;"name";"Arnswaldtstraße"
9775402;"postal_code";"30159"
9775403;"highway";"residential"
9775403;"maxspeed";"30"
9775403;"name";"Warmbüchenstraße"
9775403;"postal_code";"30159"
9775405;"highway";"residential"
9775405;"name";"Lessingstraße"
9775405;"postal_code";"30159"
9775408;"highway";"residential"
9775408;"name";"Hedwigstraße"
9775408;"oneway";"no"
9775408;"postal_code";"30159"
9775409;"highway";"residential"
9775409;"name";"Johannssenstraße"
9775409;"postal_code";"30159"
9775411;"highway";"residential"
9775411;"name";"Blumenstraße"
9775411;"oneway";"yes"
9775411;"postal_code";"30159"
9775413;"highway";"service"
9775413;"name";"Berliner Allee"
9775413;"postal_code";"30175"
9775414;"highway";"service"
9775414;"oneway";"yes"
9775414;"postal_code";"30159"
9775416;"highway";"footway"
9775416;"postal_code";"30159"
9775417;"highway";"residential"
9775417;"history";"Retrieved from v1"
9775421;"highway";"residential"
9775421;"maxspeed";"30"
9775421;"name";"Mithoffstraße"
9775421;"postal_code";"30159"
9775424;"highway";"residential"
9775424;"maxspeed";"30"
9775424;"name";"Kestnerstraße"
9775424;"postal_code";"30159"
9776072;"highway";"residential"
9776072;"maxspeed";"30"
9776072;"name";"Kirchwender Straße"
9776072;"oneway";"yes"
9776072;"postal_code";"30175"
9776073;"highway";"residential"
9776073;"maxspeed";"30"
9776073;"name";"Gellertstraße"
9776073;"postal_code";"30175"
9776075;"highway";"pedestrian"
9776075;"name";"Scharnhorststraße"
9776075;"postal_code";"30175"
9776077;"highway";"residential"
9776077;"maxspeed";"30"
9776077;"name";"Leisewitzstraße"
9776077;"postal_code";"30175"
9779044;"highway";"residential"
9779044;"name";"Adelheidstraße"
9779044;"oneway";"yes"
9779044;"postal_code";"30171"
9779045;"highway";"residential"
9779045;"name";"Weinstraße"
9779045;"postal_code";"30171"
9779046;"highway";"residential"
9779046;"maxspeed";"30"
9779046;"name";"Papenstieg"
9779046;"postal_code";"30171"
9779047;"highway";"residential"
9779047;"maxspeed";"30"
9779047;"name";"Baumstraße"
9779047;"oneway";"yes"
9779047;"postal_code";"30171"
9779048;"highway";"residential"
9779048;"maxspeed";"30"
9779048;"name";"Höltystraße"
9779048;"postal_code";"30171"
9779052;"highway";"residential"
9779052;"maxspeed";"30"
9779052;"name";"Billweg"
9779052;"postal_code";"30171"
9779054;"highway";"residential"
9779054;"maxspeed";"30"
9779054;"name";"Am Bokemahle"
9779054;"postal_code";"30171"
9779055;"highway";"residential"
9779055;"maxspeed";"30"
9779055;"name";"Kortumstraße"
9779055;"postal_code";"30171"
9836687;"highway";"residential"
9836687;"maxspeed";"30"
9836687;"name";"Siebstraße"
9836687;"postal_code";"30171"
9836688;"cycleway";"opposite"
9836688;"highway";"residential"
9836688;"maxspeed";"30"
9836688;"name";"Wilhelmstraße"
9836688;"oneway";"yes"
9836688;"postal_code";"30171"
9836689;"highway";"residential"
9836689;"name";"Am Jungfernplan"
9836689;"postal_code";"30171"
9861917;"cycleway";"opposite"
9861917;"highway";"residential"
9861917;"maxspeed";"30"
9861917;"name";"Am Judenkirchhof"
9861917;"oneway";"yes"
9861917;"postal_code";"30167"
9861918;"amenity";"public_building"
9861918;"building";"yes"
9861918;"name";"Region Hannover/ Dezernat 3"
9861919;"addr:city";"Hannover"
9861919;"addr:country";"DE"
9861919;"addr:housenumber";"12"
9861919;"addr:postcode";"30169"
9861919;"addr:street";"Hildesheimer Straße"
9861919;"amenity";"library"
9861919;"building";"yes"
9861919;"name";"Stadtbibliothek Hannover"
9861921;"amenity";"public_building"
9861921;"building";"yes"
9861921;"name";"Region Hannover"
9861931;"addr:city";"Hannover"
9861931;"addr:country";"DE"
9861931;"addr:housenumber";"14-16"
9861931;"addr:postcode";"30171"
9861931;"addr:street";"Am Bokemahle"
9861931;"amenity";"public_building"
9861931;"building";"yes"
9861931;"name";"Stadtarchiv"
9861932;"highway";"residential"
9861932;"name";"Seestraße"
9861932;"oneway";"yes"
9861932;"postal_code";"30171"
9874259;"addr:city";"Hannover"
9874259;"addr:country";"DE"
9874259;"addr:housenumber";"11"
9874259;"addr:postcode";"30159"
9874259;"addr:street";"Goseriede"
9874259;"amenity";"public_building"
9874259;"building";"yes"
9874259;"name";"kestnergesellschaft"
9874259;"tourism";"artwork"
9874473;"addr:housenumber";"2"
9874473;"addr:postcode";"30159"
9874473;"addr:street";"Sophienstraße"
9874473;"amenity";"public_building"
9874473;"building";"yes"
9874473;"name";"Künstlerhaus"
9923000;"leisure";"park"
9923000;"name";"Maschpark"
9923000;"place_name";"Maschpark"
9923000;"wikipedia";"http://de.wikipedia.org/wiki/Maschpark"
9923049;"highway";"residential"
9923049;"name";"Am Waterlooplatz"
9923049;"postal_code";"30169"
9923061;"leisure";"park"
9923150;"landuse";"cemetery"
9923150;"name";"Neustädter Friedhof"
10041589;"electrified";"contact_line"
10041589;"layer";"-2"
10041589;"name";"1 - 2 - 3 - 7 - 8 - 9"
10041589;"railway";"tram"
10041589;"tunnel";"yes"
10041606;"electrified";"contact_line"
10041606;"layer";"-1"
10041606;"name";"4 - 5 - 6 - 11"
10041606;"railway";"tram"
10041606;"tunnel";"yes"
10116872;"highway";"residential"
10116872;"name";"Scholvinstraße"
10116872;"oneway";"yes"
10116872;"postal_code";"30159"
10116874;"highway";"residential"
10116874;"name";"Reuterstraße"
10116874;"oneway";"yes"
10116874;"postal_code";"30159"
10117214;"highway";"residential"
10117214;"name";"Schloßstraße"
10262314;"FIXME";"Radweg und Fußweg sind hier baulich getrennt, bitte einzeln einzeichnen. Inlinern ist auf dem Radweg erlaubt, nicht auf dem Fußweg."
10262314;"foot";"yes"
10262314;"highway";"cycleway"
10262314;"inline_skates";"yes"
10262883;"foot";"yes"
10262883;"highway";"cycleway"
10315751;"addr:city";"Hannover"
10315751;"addr:country";"DE"
10315751;"addr:housenumber";"2"
10315751;"addr:postcode";"30159"
10315751;"addr:street";"Aegidientorplatz"
10315751;"amenity";"theatre"
10315751;"building";"yes"
10315751;"building:levels";"3"
10315751;"name";"Theater am Aegi"
10315751;"website";"http://www.theater-am-aegi.de"
10315752;"highway";"service"
10365950;"highway";"secondary"
10365950;"name";"Emmichplatz"
10365950;"oneway";"yes"
10365950;"postal_code";"30175"
10366062;"highway";"secondary"
10366062;"name";"Emmichplatz"
10366062;"oneway";"yes"
10366062;"postal_code";"30175"
10429806;"electrified";"contact_line"
10429806;"embankment";"yes"
10429806;"frequency";"16.7"
10429806;"railway";"rail"
10429806;"voltage";"15000"
10429807;"bridge";"yes"
10429807;"electrified";"contact_line"
10429807;"frequency";"16.7"
10429807;"layer";"1"
10429807;"railway";"rail"
10429807;"voltage";"15000"
10673923;"amenity";"grave_yard"
10673923;"landuse";"cemetery"
10673923;"name";"Gartenfriedhof"
10675777;"highway";"residential"
10675777;"maxspeed";"30"
10675777;"name";"Walter-Gieseking-Straße"
10675777;"postal_code";"30159"
10675783;"highway";"residential"
10675783;"name";"Gellertstraße"
10675783;"place_numbers";"57 A u. B"
10675783;"postal_code";"30175"
10677749;"addr:city";"Hannover"
10677749;"addr:country";"DE"
10677749;"addr:housenumber";"4"
10677749;"addr:postcode";"30169"
10677749;"addr:street";"Brühlstraße"
10677749;"amenity";"public_building"
10677749;"building";"yes"
10677749;"name";"Agentur für Arbeit"
10677750;"addr:city";"Hannover"
10677750;"addr:country";"DE"
10677750;"addr:housenumber";"6"
10677750;"addr:postcode";"30159"
10677750;"addr:street";"Am Hohen Ufer"
10677750;"building";"yes"
10677750;"name";"üstra Hannoversche Verkersbetriebe AG"
10677751;"highway";"residential"
10677751;"name";"Schloßstraße"
10677752;"highway";"residential"
10677752;"name";"Schloßstraße"
10677752;"postal_code";"30159"
10677753;"highway";"footway"
10677753;"name";"Johann-Trollmann-Weg"
10677754;"highway";"footway"
10677754;"name";"Kreuzkirchhof"
10677754;"postal_code";"30159"
10677755;"highway";"residential"
10677755;"name";"Kreuzkirchhof"
10677755;"postal_code";"30159"
10677756;"addr:city";"Hannover"
10677756;"addr:country";"DE"
10677756;"addr:housenumber";"6"
10677756;"addr:postcode";"30159"
10677756;"addr:street";"Pferdestraße"
10677756;"amenity";"public_building"
10677756;"building";"yes"
10677756;"name";"Historisches Museum"
10677756;"tourism";"museum"
10677756;"wikipedia";"http://de.wikipedia.org/wiki/Historisches_Museum_Hannover"
10677757;"addr:city";"Hannover"
10677757;"addr:country";"DE"
10677757;"addr:housenumber";"5"
10677757;"addr:postcode";"30159"
10677757;"addr:street";"Holzmarkt"
10677757;"amenity";"public_building"
10677757;"building";"yes"
10677757;"name";"Leibnizhaus"
10677757;"note";"Gästehaus der hannoverschen Hochschulen"
10677757;"wikipedia";"http://de.wikipedia.org/wiki/Leibnizhaus_%28Hannover%29"
10680065;"addr:city";"Hannover"
10680065;"addr:country";"DE"
10680065;"addr:housenumber";"14"
10680065;"addr:postcode";"30159"
10680065;"addr:street";"Leinstraße"
10680065;"amenity";"public_building"
10680065;"building";"yes"
10680065;"building:levels";"3"
10680065;"name";"Bürgeramt Mitte"
10680066;"highway";"residential"
10680066;"name";"Röselerstraße"
10680066;"postal_code";"30159"
10680067;"highway";"residential"
10680067;"maxspeed";"30"
10680067;"name";"Georgswall"
10680067;"noexit";"yes"
10680067;"postal_code";"30159"
10680068;"addr:city";"Hannover"
10680068;"addr:country";"DE"
10680068;"addr:housenumber";"2"
10680068;"addr:postcode";"30159"
10680068;"addr:street";"Hinrich-Wilhelm-Kopf-Platz"
10680068;"amenity";"public_building"
10680068;"building";"yes"
10680068;"name";"Niedersächsisches Ministerium für Soziales, Frauen, Familie und Gesundheit"
10680069;"addr:city";"Hannover"
10680069;"addr:country";"DE"
10680069;"addr:housenumber";"3"
10680069;"addr:postcode";"30159"
10680069;"addr:street";"Windmühlenstraße"
10680069;"amenity";"parking"
10680069;"building";"yes"
10680069;"capacity";"246"
10680069;"fee";"yes"
10680069;"maxheight";"1.95"
10680069;"note";"verschoben von röselerstrasse"
10680069;"parking";"multi-storey"
10680069;"source";"Bing"
10680070;"addr:city";"Hannover"
10680070;"addr:country";"DE"
10680070;"addr:housenumber";"13"
10680070;"addr:postcode";"30159"
10680070;"addr:street";"Schmiedestraße"
10680070;"amenity";"parking"
10680070;"building";"yes"
10680070;"fee";"yes"
10680070;"parking";"multi-storey"
10689011;"electrified";"contact_line"
10689011;"layer";"-3"
10689011;"name";"1 - 2 - 4 - 5 - 6 - 8 - 11"
10689011;"railway";"tram"
10689011;"tunnel";"yes"
11139332;"bicycle";"yes"
11139332;"cycleway";"opposite"
11139332;"goods";"destination"
11139332;"hgv";"destination"
4816460;"name";"Kestner-Museum"
4816460;"tourism";"museum"
4816460;"wikipedia";"http://de.wikipedia.org/wiki/Museum_August_Kestner"
4816460;"wikipedia:en";"http://en.wikipedia.org/wiki/Kestner-Museum"
4816461;"addr:city";"Hannover"
4816461;"addr:country";"DE"
4816461;"addr:housenumber";"1"
4816461;"addr:postcode";"30159"
4816461;"addr:street";"Rudolf-Hillebrecht-Platz"
4816461;"amenity";"public_building"
4816461;"building";"yes"
4816461;"name";"Amt für Geoinformation"
4816461;"url";"http://www.hannover.de/egov/gis-hannover/index.html"
4816462;"addr:city";"Hannover"
4816462;"addr:country";"DE"
4816462;"addr:housenumber";"2"
4816462;"addr:postcode";"30159"
4816462;"addr:street";"Friedrichswall"
4816462;"amenity";"public_building"
4816462;"building";"yes"
4816462;"name";"Neues Rathaus"
4816462;"wikipedia";"http://de.wikipedia.org/wiki/Neues_Rathaus_%28Hannover%29"
4816462;"wikipedia:en";"http://en.wikipedia.org/wiki/New_City_Hall_%28Hanover%29"
4837397;"highway";"secondary"
4837397;"maxspeed";"50"
4837397;"name";"Schloßwender Straße"
4837397;"oneway";"yes"
4837397;"postal_code";"30167"
4837397;"ref";"L 190; L 380"
4837398;"cycleway";"track"
4837398;"highway";"tertiary"
4837398;"name";"Münzstraße"
4837398;"oneway";"yes"
4837398;"postal_code";"30159"
4837399;"cycleway";"track"
4837399;"highway";"tertiary"
4837399;"maxspeed";"50"
4837399;"name";"Goethestraße"
4837399;"oneway";"yes"
4837399;"postal_code";"30159"
4837520;"highway";"secondary"
4837520;"maxspeed";"50"
4837520;"name";"Königsworther Platz"
4837520;"oneway";"yes"
4837520;"postal_code";"30167"
4837521;"cycleway";"track"
4837521;"highway";"tertiary"
4837521;"maxspeed";"50"
4837521;"name";"Goethestraße"
4837521;"oneway";"yes"
4837521;"postal_code";"30169"
4968148;"cycleway";"track"
4968148;"highway";"tertiary"
4968148;"name";"Sallstraße"
4968148;"postal_code";"30171"
5002201;"cycleway";"lane"
5002201;"highway";"tertiary"
5002201;"name";"Königstraße"
5002201;"postal_code";"30175"
5002202;"highway";"secondary"
5002202;"name";"Hohenzollernstraße"
5002202;"postal_code";"30175"
5002203;"highway";"secondary"
5002203;"maxspeed";"50"
5002203;"name";"Bödekerstraße"
5002203;"postal_code";"30161"
5002409;"highway";"residential"
5002409;"maxspeed";"30"
5002409;"name";"Lutherstraße"
5002409;"postal_code";"30171"
5002414;"highway";"tertiary"
5002414;"name";"Willy-Brandt-Allee"
5002414;"postal_code";"30169"
5002423;"highway";"residential"
5002423;"name";"Rundestraße"
5002423;"postal_code";"30161"
5011004;"highway";"secondary"
5011004;"lanes";"2"
5011004;"name";"Friederikenplatz"
5011004;"oneway";"yes"
5011004;"postal_code";"30169"
5011161;"highway";"residential"
5011161;"name";"An der Christuskirche"
5011161;"postal_code";"30167"
5011172;"highway";"secondary"
5011172;"lanes";"3"
5011172;"maxspeed";"50"
5011172;"name";"Leibnizufer"
5011172;"oneway";"yes"
5011172;"postal_code";"30169"
5011172;"ref";"L 380"
